Source,Target,Type,Weight
28,31,Undirected,0.14
27,30,Undirected,0.15
28,29,Undirected,0.22
5,15,Undirected,0.39
26,33,Undirected,0.4
26,27,Undirected,0.48
25,39,Undirected,0.5
4,18,Undirected,0.61
26,30,Undirected,0.62
7,9,Undirected,0.71
7,11,Undirected,0.71
13,23,Undirected,0.71
26,36,Undirected,0.71
4,11,Undirected,0.79
26,34,Undirected,0.83
4,9,Undirected,1.16
33,40,Undirected,0.96
37,38,Undirected,0.98
5,18,Undirected,1.02
9,11,Undirected,0.92
18,33,Undirected,1.16
11,30,Undirected,1.21
6,26,Undirected,1.25
27,34,Undirected,1.3
11,33,Undirected,1.36
14,33,Undirected,1.39
4,33,Undirected,1.51
33,34,Undirected,1.51
18,22,Undirected,1.54
34,40,Undirected,1.57
15,31,Undirected,1.58
20,42,Undirected,1.58
27,40,Undirected,1.6
30,33,Undirected,1.61
12,23,Undirected,1.62
5,14,Undirected,1.64
5,33,Undirected,1.66
11,18,Undirected,1.66
18,38,Undirected,1.66
27,33,Undirected,1.68
18,21,Undirected,1.69
26,40,Undirected,1.73
30,40,Undirected,1.75
11,15,Undirected,1.77
4,15,Undirected,1.83
15,18,Undirected,1.83
17,18,Undirected,1.83
19,27,Undirected,1.85
11,27,Undirected,1.91
5,26,Undirected,1.92
31,40,Undirected,1.92
6,33,Undirected,1.95
23,39,Undirected,1.96
37,40,Undirected,1.96
6,14,Undirected,1.97
6,11,Undirected,2.12
14,31,Undirected,2.12
4,14,Undirected,2.13
7,25,Undirected,2.15
15,26,Undirected,2.18
4,27,Undirected,2.19
18,27,Undirected,2.19
30,31,Undirected,2.19
4,5,Undirected,2.2
12,13,Undirected,2.21
25,33,Undirected,2.22
5,9,Undirected,2.23
7,30,Undirected,2.23
4,26,Undirected,2.24
6,7,Undirected,2.24
20,41,Undirected,2.25
11,23,Undirected,2.29
14,16,Undirected,2.29
18,37,Undirected,2.3
19,26,Undirected,2.31
27,42,Undirected,2.31
10,11,Undirected,2.32
34,37,Undirected,2.32
14,27,Undirected,2.36
6,34,Undirected,2.37
19,33,Undirected,2.4
6,31,Undirected,2.42
18,34,Undirected,2.42
24,39,Undirected,2.42
11,14,Undirected,2.45
18,40,Undirected,2.46
31,33,Undirected,2.47
6,40,Undirected,2.49
5,27,Undirected,2.5
15,27,Undirected,2.51
17,38,Undirected,2.55
30,34,Undirected,2.56
5,11,Undirected,2.57
25,36,Undirected,2.57
4,17,Undirected,2.58
6,27,Undirected,2.6
14,26,Undirected,2.6
15,25,Undirected,2.6
15,33,Undirected,2.6
19,30,Undirected,2.62
26,42,Undirected,2.62
19,40,Undirected,2.63
9,17,Undirected,2.64
18,26,Undirected,2.64
25,34,Undirected,2.64
14,18,Undirected,2.65
5,21,Undirected,2.66
19,34,Undirected,2.66
26,39,Undirected,2.66
5,6,Undirected,2.68
14,21,Undirected,2.68
17,22,Undirected,2.68
14,30,Undirected,2.69
24,35,Undirected,2.7
7,27,Undirected,2.72
5,34,Undirected,2.75
6,18,Undirected,2.76
4,25,Undirected,2.77
10,17,Undirected,2.77
18,30,Undirected,2.78
4,21,Undirected,2.79
6,15,Undirected,2.79
17,33,Undirected,2.79
5,22,Undirected,2.8
5,40,Undirected,2.8
27,36,Undirected,2.8
6,9,Undirected,2.83
35,42,Undirected,2.83
4,22,Undirected,2.84
34,38,Undirected,2.84
7,21,Undirected,2.85
25,26,Undirected,2.88
19,36,Undirected,2.89
14,40,Undirected,2.9
34,36,Undirected,2.9
17,21,Undirected,2.91
21,22,Undirected,2.91
5,31,Undirected,2.92
11,25,Undirected,2.92
36,40,Undirected,2.92
26,31,Undirected,2.94
23,26,Undirected,2.95
9,30,Undirected,2.96
41,44,Undirected,2.97
15,19,Undirected,2.99
4,34,Undirected,3.01
23,36,Undirected,3.03
9,10,Undirected,3.05
19,23,Undirected,3.09
9,18,Undirected,3.1
10,30,Undirected,3.1
4,40,Undirected,3.11
17,37,Undirected,3.11
13,16,Undirected,3.13
6,22,Undirected,3.15
11,34,Undirected,3.16
15,40,Undirected,3.16
7,17,Undirected,3.2
14,25,Undirected,3.21
5,25,Undirected,3.25
11,40,Undirected,3.25
25,27,Undirected,3.26
27,28,Undirected,3.26
11,44,Undirected,3.27
23,30,Undirected,3.27
28,32,Undirected,3.28
25,30,Undirected,3.29
27,31,Undirected,3.29
5,38,Undirected,3.32
23,33,Undirected,3.32
28,30,Undirected,3.32
21,25,Undirected,3.33
23,27,Undirected,3.33
11,19,Undirected,3.34
9,33,Undirected,3.38
25,42,Undirected,3.39
16,23,Undirected,3.4
20,35,Undirected,3.41
10,18,Undirected,3.42
14,15,Undirected,3.43
27,39,Undirected,3.44
9,27,Undirected,3.48
12,22,Undirected,3.48
27,29,Undirected,3.48
9,21,Undirected,3.51
7,15,Undirected,3.52
36,37,Undirected,3.52
36,38,Undirected,3.52
6,25,Undirected,3.56
11,31,Undirected,3.59
31,34,Undirected,3.6
4,6,Undirected,3.62
9,25,Undirected,3.62
14,22,Undirected,3.62
4,10,Undirected,3.63
11,37,Undirected,3.64
21,41,Undirected,3.64
6,38,Undirected,3.65
15,30,Undirected,3.67
20,24,Undirected,3.69
10,33,Undirected,3.72
7,10,Undirected,3.73
18,36,Undirected,3.73
26,28,Undirected,3.73
12,21,Undirected,3.74
35,44,Undirected,3.75
4,31,Undirected,3.76
11,29,Undirected,3.77
19,31,Undirected,3.77
11,26,Undirected,3.78
16,39,Undirected,3.78
13,14,Undirected,3.79
23,34,Undirected,3.79
12,44,Undirected,3.8
21,38,Undirected,3.83
10,15,Undirected,3.85
19,25,Undirected,3.85
14,29,Undirected,3.86
18,19,Undirected,3.86
32,36,Undirected,3.86
10,27,Undirected,3.89
12,39,Undirected,3.89
16,42,Undirected,3.9
14,28,Undirected,3.91
15,21,Undirected,3.92
26,29,Undirected,3.93
15,22,Undirected,3.95
9,34,Undirected,3.96
25,40,Undirected,3.96
10,25,Undirected,3.97
4,38,Undirected,3.99
10,21,Undirected,4.02
15,17,Undirected,4.05
16,21,Undirected,4.06
16,22,Undirected,4.06
30,37,Undirected,4.06
7,26,Undirected,4.07
11,22,Undirected,4.14
12,31,Undirected,4.15
15,23,Undirected,4.17
7,18,Undirected,4.2
9,15,Undirected,4.25
10,34,Undirected,4.25
11,17,Undirected,4.28
7,38,Undirected,4.29
12,26,Undirected,4.29
13,44,Undirected,4.31
4,19,Undirected,4.33
3,43,Undirected,4.34
12,17,Undirected,4.36
12,25,Undirected,4.36
18,23,Undirected,4.36
28,40,Undirected,4.36
16,25,Undirected,4.4
7,22,Undirected,4.41
12,36,Undirected,4.41
19,38,Undirected,4.41
5,17,Undirected,4.42
22,39,Undirected,4.44
7,14,Undirected,4.45
17,27,Undirected,4.45
9,19,Undirected,4.46
11,36,Undirected,4.46
12,14,Undirected,4.47
11,28,Undirected,4.48
15,44,Undirected,4.48
20,44,Undirected,4.48
14,23,Undirected,4.52
31,39,Undirected,4.52
15,28,Undirected,4.53
33,39,Undirected,4.55
15,34,Undirected,4.57
4,30,Undirected,4.6
17,40,Undirected,4.6
28,34,Undirected,4.6
7,33,Undirected,4.62
7,29,Undirected,4.63
12,34,Undirected,4.63
7,39,Undirected,4.65
5,30,Undirected,4.66
7,34,Undirected,4.66
21,37,Undirected,4.66
11,21,Undirected,4.68
12,18,Undirected,4.68
20,22,Undirected,4.68
22,24,Undirected,4.68
6,30,Undirected,4.69
5,23,Undirected,4.71
18,31,Undirected,4.71
42,44,Undirected,4.75
9,22,Undirected,4.77
13,22,Undirected,4.78
23,40,Undirected,4.79
12,27,Undirected,4.81
13,21,Undirected,4.83
17,26,Undirected,4.83
41,43,Undirected,4.83
13,39,Undirected,4.84
14,34,Undirected,4.84
10,19,Undirected,4.85
34,39,Undirected,4.85
12,33,Undirected,4.86
5,7,Undirected,4.88
6,21,Undirected,4.88
14,17,Undirected,4.89
30,36,Undirected,4.89
6,29,Undirected,4.9
9,26,Undirected,4.91
9,44,Undirected,4.91
11,13,Undirected,4.92
30,38,Undirected,4.92
24,25,Undirected,4.93
14,19,Undirected,4.94
13,42,Undirected,4.95
17,34,Undirected,4.95
28,33,Undirected,4.95
9,37,Undirected,4.97
14,37,Undirected,4.98
27,35,Undirected,5.06
12,30,Undirected,5.07
13,36,Undirected,5.07
12,40,Undirected,5.08
7,19,Undirected,5.12
23,25,Undirected,5.15
15,16,Undirected,5.16
16,27,Undirected,5.17
16,29,Undirected,5.17
23,42,Undirected,5.17
4,23,Undirected,5.18
6,23,Undirected,5.2
7,28,Undirected,5.2
5,29,Undirected,5.23
35,43,Undirected,5.23
5,37,Undirected,5.24
12,19,Undirected,5.24
29,30,Undirected,5.24
17,30,Undirected,5.27
26,37,Undirected,5.28
33,37,Undirected,5.28
15,37,Undirected,5.29
16,28,Undirected,5.29
6,39,Undirected,5.3
7,31,Undirected,5.3
10,22,Undirected,5.3
16,40,Undirected,5.3
26,35,Undirected,5.3
12,16,Undirected,5.31
18,28,Undirected,5.31
4,29,Undirected,5.33
10,26,Undirected,5.33
2,7,Undirected,5.35
7,40,Undirected,5.35
27,41,Undirected,5.35
4,28,Undirected,5.39
6,17,Undirected,5.39
16,26,Undirected,5.4
16,20,Undirected,5.42
19,28,Undirected,5.42
16,31,Undirected,5.43
17,23,Undirected,5.43
6,16,Undirected,5.45
6,28,Undirected,5.45
17,19,Undirected,5.45
24,40,Undirected,5.46
5,10,Undirected,5.47
19,37,Undirected,5.47
7,23,Undirected,5.48
15,29,Undirected,5.48
9,23,Undirected,5.51
10,44,Undirected,5.51
19,22,Undirected,5.51
26,38,Undirected,5.51
11,38,Undirected,5.52
10,37,Undirected,5.53
26,44,Undirected,5.53
4,7,Undirected,5.54
9,40,Undirected,5.54
19,21,Undirected,5.55
18,29,Undirected,5.56
13,24,Undirected,5.57
23,31,Undirected,5.58
5,28,Undirected,5.59
13,20,Undirected,5.59
25,31,Undirected,5.6
13,25,Undirected,5.61
14,39,Undirected,5.64
4,37,Undirected,5.65
19,29,Undirected,5.66
4,36,Undirected,5.67
6,10,Undirected,5.67
26,41,Undirected,5.67
1,7,Undirected,5.69
7,37,Undirected,5.69
10,23,Undirected,5.69
33,36,Undirected,5.69
22,41,Undirected,5.72
33,38,Undirected,5.72
6,37,Undirected,5.78
25,35,Undirected,5.78
5,19,Undirected,5.79
14,38,Undirected,5.79
20,25,Undirected,5.8
23,35,Undirected,5.82
16,30,Undirected,5.85
16,34,Undirected,5.86
16,18,Undirected,5.89
26,32,Undirected,5.91
28,36,Undirected,5.95
9,14,Undirected,5.99
6,36,Undirected,6
13,27,Undirected,6
13,31,Undirected,6.01
15,39,Undirected,6.04
13,35,Undirected,6.06
10,40,Undirected,6.08
22,35,Undirected,6.1
9,31,Undirected,6.11
21,44,Undirected,6.11
37,39,Undirected,6.11
24,33,Undirected,6.12
15,38,Undirected,6.13
3,24,Undirected,6.14
10,29,Undirected,6.14
13,26,Undirected,6.15
27,44,Undirected,6.15
24,42,Undirected,6.16
5,39,Undirected,6.18
17,36,Undirected,6.18
4,12,Undirected,6.2
16,33,Undirected,6.21
16,24,Undirected,6.23
10,31,Undirected,6.27
30,39,Undirected,6.31
31,36,Undirected,6.31
9,38,Undirected,6.32
13,34,Undirected,6.34
22,23,Undirected,6.34
20,39,Undirected,6.35
18,42,Undirected,6.37
28,42,Undirected,6.37
20,21,Undirected,6.39
10,28,Undirected,6.4
13,33,Undirected,6.4
18,25,Undirected,6.4
6,19,Undirected,6.43
27,37,Undirected,6.43
22,25,Undirected,6.45
27,32,Undirected,6.45
13,18,Undirected,6.46
29,31,Undirected,6.46
38,39,Undirected,6.47
39,40,Undirected,6.47
5,36,Undirected,6.48
11,39,Undirected,6.52
15,36,Undirected,6.52
15,42,Undirected,6.53
24,34,Undirected,6.54
24,36,Undirected,6.54
13,30,Undirected,6.56
31,32,Undirected,6.56
10,14,Undirected,6.58
9,29,Undirected,6.59
25,28,Undirected,6.59
1,42,Undirected,6.62
29,39,Undirected,6.62
18,39,Undirected,6.63
4,13,Undirected,6.64
13,17,Undirected,6.64
3,44,Undirected,6.66
27,38,Undirected,6.67
19,39,Undirected,6.68
28,39,Undirected,6.68
16,37,Undirected,6.69
21,39,Undirected,6.69
32,33,Undirected,6.69
14,44,Undirected,6.7
12,42,Undirected,6.75
21,33,Undirected,6.79
25,29,Undirected,6.8
31,37,Undirected,6.8
5,32,Undirected,6.82
6,20,Undirected,6.83
11,42,Undirected,6.83
25,37,Undirected,6.84
12,37,Undirected,6.85
10,38,Undirected,6.86
25,41,Undirected,6.94
25,44,Undirected,6.95
9,28,Undirected,6.96
13,19,Undirected,6.96
19,20,Undirected,6.97
22,38,Undirected,6.97
11,16,Undirected,6.99
19,42,Undirected,6.99
5,16,Undirected,7.05
1,20,Undirected,7.07
25,38,Undirected,7.08
17,31,Undirected,7.1
11,12,Undirected,7.11
13,15,Undirected,7.11
12,28,Undirected,7.17
32,39,Undirected,7.17
7,16,Undirected,7.19
14,36,Undirected,7.19
32,34,Undirected,7.21
40,42,Undirected,7.22
7,13,Undirected,7.24
9,36,Undirected,7.24
29,40,Undirected,7.24
36,41,Undirected,7.24
9,39,Undirected,7.25
16,19,Undirected,7.25
4,32,Undirected,7.26
16,38,Undirected,7.26
12,24,Undirected,7.32
16,17,Undirected,7.34
22,37,Undirected,7.36
12,29,Undirected,7.38
14,20,Undirected,7.4
13,37,Undirected,7.41
7,36,Undirected,7.45
14,42,Undirected,7.47
26,43,Undirected,7.47
21,34,Undirected,7.48
4,39,Undirected,7.53
16,36,Undirected,7.53
6,12,Undirected,7.54
7,12,Undirected,7.54
5,20,Undirected,7.6
13,29,Undirected,7.6
13,40,Undirected,7.66
2,20,Undirected,7.67
18,32,Undirected,7.67
21,35,Undirected,7.67
6,13,Undirected,7.68
24,44,Undirected,7.68
17,28,Undirected,7.69
32,37,Undirected,7.69
30,32,Undirected,7.74
6,32,Undirected,7.76
18,44,Undirected,7.8
23,28,Undirected,7.8
24,26,Undirected,7.81
29,33,Undirected,7.84
10,36,Undirected,7.85
12,20,Undirected,7.9
10,39,Undirected,7.92
12,38,Undirected,7.92
13,28,Undirected,7.92
17,29,Undirected,7.92
19,24,Undirected,7.95
21,36,Undirected,7.95
21,24,Undirected,7.97
13,38,Undirected,7.99
32,40,Undirected,8.02
29,34,Undirected,8.03
17,42,Undirected,8.06
12,35,Undirected,8.07
23,29,Undirected,8.07
23,37,Undirected,8.11
21,23,Undirected,8.15
37,44,Undirected,8.15
8,45,Undirected,6.1
8,46,undirected,4.9
46,19,Undirected,9.1
